index,Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
0,1950,ABLE,08-12-50,08-24-50,8/12 - 8/24,110,953.0,Hurricane
1,1950,BAKER,08-18-50,09-01-50,8/18 - 9/1,90,979.0,Hurricane
2,1950,CHARLIE,08-21-50,09-05-50,8/21 - 9/5,95,974.0,Hurricane
3,1950,EASY,09-01-50,09-09-50,9/1 - 9/9,105,960.0,Hurricane
4,1950,FOX,09-08-50,09-17-50,9/8 - 9/17,120,946.0,Hurricane
5,1950,DOG,08-30-50,09-18-50,8/30 - 9/18,125,953.0,Hurricane
6,1950,HOW,10-01-50,10-04-50,10/1 - 10/4,40,,Tropical Storm
7,1950,GEORGE,09-27-50,10-07-50,9/27 - 10/7,95,960.0,Hurricane
8,1950,ITEM,10-08-50,10-11-50,10/8 - 10/11,90,980.0,Hurricane
9,1950,JIG,10-11-50,10-18-50,10/11 - 10/18,100,,Hurricane
10,1950,KING,10-13-50,10-20-50,10/13 - 10/20,115,955.0,Hurricane
11,1950,LOVE,10-18-50,10-22-50,10/18 - 10/22,70,987.0,Hurricane
12,1950,MIKE,10-25-50,10-28-50,10/25 - 10/28,40,,Tropical Storm
13,1951,ABLE,05-16-51,05-24-51,5/16 - 5/24,80,973.0,Hurricane
14,1951,BAKER,08-02-51,08-05-51,8/2 - 8/5,50,996.0,Tropical Storm
15,1951,CHARLIE,08-12-51,08-23-51,8/12 - 8/23,115,968.0,Hurricane
16,1951,DOG,08-27-51,09-05-51,8/27 - 9/5,80,992.0,Hurricane
17,1951,FOX,09-02-51,09-11-51,9/2 - 9/11,100,,Hurricane
18,1951,EASY,09-01-51,09-14-51,9/1 - 9/14,130,937.0,Hurricane
19,1951,GEORGE,09-16-51,09-22-51,9/19 - 9/22,50,999.0,Tropical Storm
20,1951,HOW,09-29-51,10-11-51,9/29 - 10/11,85,963.0,Hurricane
21,1951,ITEM,10-12-51,10-17-51,10/12 - 10/17,55,998.0,Tropical Storm
22,1951,JIG,10-15-51,10-20-51,10/15 - 10/20,65,990.0,Hurricane
23,1952,ABLE,08-18-52,09-03-52,8/18 - 9/3,85,983.0,Hurricane
24,1952,BAKER,08-31-52,09-10-52,8/31 - 9/10,95,969.0,Hurricane
25,1952,DOG,09-24-52,09-30-52,9/24 - 9/30,60,998.0,Tropical Storm
26,1952,CHARLIE,09-24-52,10-01-52,9/24 - 10/1,105,958.0,Hurricane
27,1952,EASY,10-06-52,10-11-52,10/6 - 10/11,90,968.0,Hurricane
28,1952,FOX,10-20-52,10-28-52,10/20 - 10/28,125,934.0,Hurricane
29,1953,ALICE,05-25-53,06-07-53,5/25 - 6/7,60,994.0,Tropical Storm
30,1953,BARBARA,08-11-53,08-16-53,8/11 - 8/16,80,973.0,Hurricane
31,1953,CAROL,08-28-53,09-09-53,8/28 - 9/9,140,929.0,Hurricane
32,1953,DOLLY,09-08-53,09-16-53,9/8 - 9/16,65,989.0,Hurricane
33,1953,EDNA,09-15-53,09-21-53,9/15 - 9/21,100,962.0,Hurricane
34,1953,FLORENCE,09-23-53,09-27-53,9/23 - 9/27,100,968.0,Hurricane
35,1953,GAIL,10-02-53,10-12-53,10/2 - 10/12,70,986.0,Hurricane
36,1953,HAZEL,10-07-53,10-16-53,10/7 - 10/16,75,989.0,Hurricane
37,1954,ALICE,06-24-54,06-24-54,6/24 - 6/27,95,,Hurricane
38,1954,BARBARA,07-27-54,07-30-54,7/27 - 7/30,50,999.0,Tropical Storm
39,1954,CAROL,08-25-54,09-01-54,8/25 - 9/1,100,955.0,Hurricane
40,1954,DOLLY,08-31-54,09-04-54,8/31 - 9/4,75,994.0,Hurricane
41,1954,FLORENCE,09-10-54,09-12-54,9/10 - 9/12,55,1001.0,Tropical Storm
42,1954,EDNA,09-05-54,09-14-54,9/5 - 9/14,110,943.0,Hurricane
43,1954,GILDA,09-24-54,09-30-54,9/24 - 9/30,60,998.0,Tropical Storm
44,1954,HAZEL,10-05-54,10-18-54,10/5 - 10/18,115,938.0,Hurricane
45,1954,ALICE,12-30-54,01-06-55,12/30 - 1/6,80,991.0,Hurricane
46,1955,BRENDA,07-31-55,08-03-55,7/31 - 8/3,60,,Tropical Storm
47,1955,CONNIE,08-03-55,08-15-55,8/3 - 8/15,120,944.0,Hurricane
48,1955,DIANE,08-07-55,08-23-55,8/7 - 8/23,90,969.0,Hurricane
49,1955,EDITH,08-21-55,09-05-55,8/21 - 9/5,85,967.0,Hurricane
50,1955,GLADYS,09-03-55,09-06-55,9/3 - 9/6,65,996.0,Hurricane
51,1955,FLORA,09-02-55,09-09-55,9/2 - 9/9,90,967.0,Hurricane
52,1955,HILDA,09-12-55,09-20-55,9/12 - 9/20,105,952.0,Hurricane
